hydroID (GLAHF database),bottle/vial ID,stream name,TPmgL,TNmgL,SRPmgL,NitratemgL,NH4mgL,DINmgL,Flowlitersday,TPload_kgday,TNload_kgday,SRP percent of TP,DIN percent of TN,Load N:P,urban,barren,forest,shrubland,herbaceous,agriculture,wetland,Strahler order,Areakm2,damspresent,percentwater,percentTP,percentTN
2109316,80,peshtigo river,0.040766,0.807324,0.004927,0.098326,0.041481,0.139807,1235818463,50.37937548,997.7059051,12.0860521,17.3173348,43.79323462,4.550464175,0.041507132,44.14991087,1.886679211,1.236621926,15.7657292,32.36908748,5,2919.4038,yes,2.167882225,1.771028161,1.754890394
2109314,81,no name,0.04382,2.042843,0.014582,0.185633,1.045059,1.230692,2948282.983,0.12919376,6.022879253,33.27704245,60.24408141,103.0907925,5.521472393,0,36.27463778,1.527215768,0.143584388,15.9770265,40.55606318,1,6.9048,no,0.005171901,0.004541656,0.010593796
2109307,82,little river,0.025235,0.498866,0.006632,0.16664,0.14852,0.31516,14857939.56,0.374940105,7.412120876,26.28095899,63.17528154,43.71574233,10.35259418,0.466550476,26.50489342,1.362112884,7.017026411,14.22174554,40.07507709,2,33.7212,no,0.026063912,0.013180582,0.013037369
2109301,83,no name,0.02205,0.61516,0.005852,0.281079,0.102652,0.383731,3799230.304,0.083773028,2.337134514,26.53968254,62.37905586,61.69312296,70.88487155,0,3.848186912,0,1.247489164,1.63865102,22.38080135,1,8.5293,no,0.006664639,0.002944943,0.004110846
2109298,84,Menominee River,0.029504,0.605754,0.00325,0.043814,0.020129,0.063943,4701502225,138.7131217,2847.953779,11.01545553,10.55593525,45.40175617,4.015014316,0.142125803,55.09010367,2.028439597,2.475071648,4.45791409,31.79133087,6,10535.0895,yes,8.247411258,4.876297939,5.009338626
2109283,85,hay creek,0.086465,1.629628,0.015737,0.887219,0.128182,1.015401,1577541.47,0.136402123,2.570805751,18.20042792,62.30876004,41.67785822,59.75512377,0,14.98536066,0,0.266169816,18.71173809,6.281607666,1,3.3894,no,0.002767335,0.004795057,0.004521856
2109273,86,Turtle Creek,0.045163,1.066205,0.020799,0.241866,0.086544,0.32841,6719229.543,0.303460564,7.164076135,46.05318513,30.80176889,52.20537177,14.51501662,0.250799423,19.88839426,0.175559596,5.749576776,10.75302527,48.66762806,2,14.3811,no,0.011786924,0.010667802,0.012601076
2109272,87,bis creek,0.035735,0.843517,0.007408,0.042662,0.067993,0.110655,2658500.194,0.095001504,2.242490108,20.73037638,13.11828926,52.19841477,10.57934509,0,15.28652393,0.125944584,3.794080605,15.28652393,54.92758186,1,5.7321,no,0.004663561,0.003339667,0.003944373
2109270,88,springer creek,0.044409,1.116812,0.017014,0.198831,0.10687,0.305701,6406808.002,0.284519937,7.155200058,38.31205386,27.37264643,55.61172143,6.260564296,0.039006631,25.87439865,0.214536471,2.743466389,10.26524509,54.60278247,2,13.8537,no,0.011238872,0.010001966,0.012585464
2109257,89,beattie creek,0.041627,0.997334,0.023725,0.274863,0.024003,0.298866,10269726.76,0.427497916,10.24234767,56.99425853,29.96649066,52.98131978,5.266286258,0.075289269,30.63877001,0.836107149,2.555872563,10.23934062,50.38833413,2,22.7124,no,0.018015233,0.01502819,0.018015527
2109245,90,johnson creek,0.027879,0.693144,0.019217,0.137786,0.066389,0.204175,7633446.916,0.212812867,5.291077929,68.93001901,29.45636116,54.97984829,2.444258348,0.047105621,8.49994766,0.0994452,0.989218047,11.4676018,76.45242332,2,17.1954,no,0.013390651,0.007481188,0.009306612
2109240,91,no name,0.019371,1.140604,0.008027,0.113217,0.161003,0.27422,4971812.194,0.096308974,5.670868876,41.43823241,24.04164811,130.2087321,3.92701309,0,19.84926616,0.388734629,0.69813566,6.021420071,69.11543038,2,11.3445,no,0.008721591,0.00338563,0.009974636
2109237,92,fowler creek,0.026003,0.848082,0.005104,0.04611,0.076581,0.122691,4473037.936,0.116312405,3.793502959,19.6285044,14.46687938,72.12264582,1.557276087,0.00879817,42.31039944,1.240541967,1.645257786,1.205349287,52.03237727,1,10.2294,no,0.007846637,0.004088827,0.006672489
